,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
54895,Ancient Frontier,/app/521790/,2017-09-21,63,81,42,123,62.14,Strategy (2),Strategy (2),Fair Weather Studios LLC,Fair Weather Studios LLC,Engine.Unity,2019-06-26,66.0,0,2,63,2017-09-24
54896,Akihabara - Feel the Rhythm,/app/565660/,2017-01-26,226,50,25,75,62.14,Indie (23),"Action (1), Indie (23)",JMJ Interactive,JMJ Interactive,nan,2019-11-05,65.0,0,5,254,2023-04-30
54897,John Wick Chronicles,/app/382360/,2017-02-09,142,170,92,262,62.1,Action (1),Action (1),Starbreeze Studios,Starbreeze Studios,Engine.Unreal; SDK.NVIDIA_APEX; SDK.OpenVR; SDK.Vorbis,2019-09-09,64.0,1,6,142,2017-02-09
54898,Dustoff Heli Rescue 2,/app/553690/,2017-05-30,11,18,8,26,62.1,Action (1),"Action (1), Casual (4), Indie (23)",Invictus Games Ltd.,Invictus Games Ltd.,Engine.Unity; SDK.FMOD; SDK.OculusXRPlugin; SDK.OpenVR,2016-12-16,69.0,0,0,11,2022-07-20
54899,Shadow Mist,/app/617630/,2017-05-11,7,18,8,26,62.1,Indie (23),"Adventure (25), Casual (4), Indie (23), Strategy (2)",Tencent Games,Tencent Games,Engine.Unity; SDK.Wwise,2017-08-03,69.0,0,1,7,2017-05-11
54900,MegaRace 1,/app/730580/,2017-11-09,2,18,8,26,62.1,Racing (9),"Action (1), Racing (9)",Microids,Cryo Interactive,Emulator.DOSBOX; SDK.SDL,2019-09-20,69.0,0,1,2,2017-12-09
54901,Mayhem ZX,/app/522950/,2017-10-18,2,6,2,8,62.1,Indie (23),"Violent (73), Gore (74), Action (1), Indie (23), Early Access (70)",Numb Thumb Studios,Numb Thumb Studios,Engine.GameMaker,2018-04-09,,0,0,2,2017-10-28
54902,Minotaur's Maze,/app/531080/,2017-04-12,3,6,2,8,62.1,RPG (3),"Indie (23), RPG (3), Early Access (70)",Sisyphus Games,Sisyphus Games,Engine.Unity; SDK.FMOD; SDK.OpenVR,2017-03-10,,0,0,3,2017-04-20
54903,Metanet Hunter CD,/app/586570/,2017-01-31,18,6,2,8,62.1,Action (1),"Action (1), Indie (23)",RodeoNET,RodeoNET,Engine.Love2D; SDK.OpenAL; SDK.SDL,2017-01-28,,0,0,18,2020-05-22
54904,Pixel Gear,/app/618650/,2017-06-12,4,6,2,8,62.1,Action (1),"Action (1), Indie (23)",Geronimo Interactive,Geronimo Interactive,Engine.Unity; SDK.OpenVR,2017-03-31,,0,0,4,2018-09-27
54905,Vulture Strike,/app/635590/,2017-12-19,3,6,2,8,62.1,Action (1),"Action (1), Indie (23)",Vulture Strike,Vulture Strike,Engine.Unity,2019-11-01,,0,0,3,2017-10-11
54906,Orbs,/app/660450/,2017-09-18,4,6,2,8,62.1,Massively Multiplayer (29),"Action (1), Adventure (25), Indie (23), Massively Multiplayer (29), RPG (3)",I SHOW YOU,I SHOW YOU,Engine.Unity; SDK.Photon,2019-06-13,,0,0,4,2017-09-12
54907,StarBallMadNess,/app/673050/,2017-08-01,2,6,2,8,62.1,Casual (4),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2), Early Access (70)",GreenGasGames,GreenGasGames,SDK.OpenVR; SDK.cURL,2022-11-01,,0,0,2,2017-08-05
54908,Embrace of Ocean: Story of Hope,/app/676410/,2017-08-05,3,6,2,8,62.1,Casual (4),"Adventure (25), Casual (4)",Aves Games,Aves Games,Engine.Unity,2017-07-16,,0,0,3,2017-08-07
54909,After Rain: Phoenix Rise,/app/693560/,2017-12-15,2,6,2,8,62.1,Adventure (25),"Action (1), Adventure (25), Indie (23)",DV9DESIGN,DV8Games,Engine.Unity,2017-08-31,,0,0,2,2018-05-08
54910,The Relentless,/app/695910/,2017-10-24,2,6,2,8,62.1,Action (1),"Action (1), Casual (4), Indie (23)",Head Start Design,Brett Jackson,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-10-06,,0,0,2,2017-10-15
54911,The Legend of the Dragonflame High School,/app/696910/,2017-09-01,2,6,2,8,62.1,Action (1),Action (1),HUNTERS,HUNTERS,Engine.XNA,2017-08-11,,0,0,2,2017-09-02
54912,Gurugedara,/app/701010/,2017-09-28,12,6,2,8,62.1,Free to Play (37),"Free to Play (37), Massively Multiplayer (29)",Osmium,Osmium,Engine.Unity; SDK.OculusXRPlugin; SDK.Photon,2017-09-06,,0,0,12,2019-07-03
54913,Tricks and Treats,/app/702310/,2017-10-18,5,6,2,8,62.1,Casual (4),"Casual (4), Indie (23)",Notus Games Ltd,Notus Games Ltd,SDK.BASS; SDK.SDL,2017-10-02,,0,1,5,2018-04-08
54914,Fade Away,/app/711720/,2017-10-02,2,6,2,8,62.1,Indie (23),"Adventure (25), Casual (4), Indie (23)",Fade Away,Fade Away,Engine.Unity,2017-09-11,,0,0,2,2017-10-04
54915,Endless Treasure Hunt,/app/714290/,2017-10-16,3,6,2,8,62.1,Action (1),"Action (1), Casual (4), Indie (23)",Lunarhellgames,Lunarhellgames,Engine.GameMaker,2017-10-02,,0,0,3,2017-10-18
54916,AcChen - Tile matching the Arcade way,/app/747540/,2017-12-20,2,6,2,8,62.1,Casual (4),"Action (1), Casual (4), Indie (23)",Stefan Preuss,Stefan Preuss,SDK.SDL,2022-10-29,,0,1,2,2017-12-21
54917,Kitten Madness,/app/748110/,2017-12-31,4,6,2,8,62.1,Action (1),"Action (1), Adventure (25), Indie (23), Early Access (70)",LoveTrooper Entertainment L.L.C.,David Ogden,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-12-06,,0,0,4,2018-01-01
54918,Raining Coins,/app/755240/,2017-12-06,2,6,2,8,62.1,Action (1),"Action (1), Casual (4), Indie (23)",Crazysoft Limited,Crazysoft Limited,Engine.Unity,2022-05-27,,0,0,2,2017-12-07
54919,Sleeping Dawn,/app/742900/,2017-11-17,110,48,24,72,62.09,Indie (23),"Action (1), Adventure (25), Indie (23)",Effimera Studio,Effimera Studio,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-10-26,66.0,0,0,110,2019-01-23
54920,Drive//Shaft,/app/747590/,2017-11-30,7,48,24,72,62.09,Sports (18),"Action (1), Indie (23), Racing (9), Sports (18)",Spotted Zebra Software LLC,Spotted Zebra Software LLC,Engine.Unity; SDK.Photon,2018-03-02,66.0,0,0,7,2017-12-02
54921,Clumsy Fred,/app/667130/,2017-07-14,6,35,17,52,62.07,Indie (23),"Casual (4), Indie (23), Simulation (28)",BeshevGames,BeshevGames,Engine.Unity,2017-07-28,68.0,0,1,6,2018-06-09
54922,Pylon: Rogue,/app/386100/,2017-09-21,10,16,7,23,62.05,Indie (23),"Action (1), Indie (23), RPG (3)",QuantumSquid Interactive,QuantumSquid Interactive,Engine.Unity,2017-09-21,69.0,0,0,10,2017-09-22
54923,Escape From BioStation,/app/391650/,2017-07-03,125,16,7,23,62.05,Action (1),"Action (1), Adventure (25), Indie (23)",Tusky Games,Tusky Games,Engine.Unity,2017-05-25,69.0,0,0,125,2018-02-08
54924,The Morgue Fissure Between Worlds,/app/547150/,2017-03-30,4,16,7,23,62.05,Indie (23),"Adventure (25), Indie (23)",nan,Zoltok's,Engine.Unity,2017-03-28,69.0,0,1,4,2017-04-01
54925,Knot,/app/575990/,2017-02-09,6,16,7,23,62.05,Indie (23),"Casual (4), Indie (23), Simulation (28)",Warlock Arts,Warlock Arts,Engine.Unity,2017-05-11,69.0,0,0,6,2017-02-11
54926,Catsby,/app/590270/,2017-04-06,6,16,7,23,62.05,Adventure (25),"Adventure (25), Indie (23)",OOTOTGames,OOTOTGames,Engine.Unity,2017-03-28,69.0,0,0,6,2017-04-17
54927,Riot of the numbers,/app/579150/,2017-01-19,1404,46,23,69,62.03,Indie (23),"Action (1), Casual (4), Indie (23)",Mihai Morosanu,Mihai Morosanu,SDK.Adobe_Flash,2022-11-03,66.0,50,59,1404,2017-10-29
54928,Elsewhere High: Chapter 1 - A Visual Novel,/app/587570/,2017-03-31,37,46,23,69,62.03,Adventure (25),"Adventure (25), Free to Play (37)",Horizon Studio,Horizon Studio,Engine.TyranoBuilder; SDK.Greenworks; SDK.NWJS,2017-02-06,66.0,0,0,37,2017-09-21
54929,Freedom Defender,/app/686570/,2017-08-25,6,93,49,142,62.02,Casual (4),"Casual (4), Indie (23), Strategy (2)",League of Sweat Ent.,League of Sweat Ent.,Engine.Unity,2022-12-10,65.0,0,0,6,2017-08-25
54930,Into the Rhythm VR,/app/677060/,2017-09-19,11,33,16,49,62.0,Casual (4),Casual (4),Barunson Co. Ltd,NTWO Studio Co. Ltd,Engine.Unity; SDK.FMOD; SDK.OculusXRPlugin; SDK.OpenVR; SDK.SteamworksNET,2017-12-19,67.0,0,0,11,2018-03-10
54931,Super Army of Tentacles 3: The Search for Army of Tentacles 2,/app/592200/,2017-05-30,759,14,6,20,62.0,RPG (3),"Adventure (25), Indie (23), RPG (3)",Stegalosaurus Game Development,Stegalosaurus Game Development,Engine.RenPy; SDK.SDL,2019-06-12,70.0,0,0,759,2017-10-21
54932,EmbodyMe Beta,/app/604530/,2017-03-23,7,14,6,20,62.0,Free to Play (37),"Casual (4), Free to Play (37), Massively Multiplayer (29), Early Access (70)",EmbodyMe Inc.,EmbodyMe Inc.,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Photon; SDK.Vorbis,2017-03-06,70.0,0,0,7,2017-03-24
54933,Hailstorm VR,/app/618500/,2017-09-15,5,14,6,20,62.0,Action (1),"Action (1), Indie (23), Early Access (70)",SlimeQ,SlimeQ,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-11-03,70.0,0,0,5,2017-11-09
54934,Awesome Machine,/app/626160/,2017-07-07,32,14,6,20,62.0,Casual (4),"Casual (4), Indie (23), Simulation (28)",Bellosoft,Bellosoft,Engine.Unity,2017-05-15,68.0,0,1,32,2017-12-30
54935,Hidden Animals: English - Spanish,/app/656480/,2017-06-16,2,14,6,20,62.0,Casual (4),"Casual (4), Indie (23)",Progorion,Progorion,Engine.Unity,2017-06-14,70.0,0,0,2,2017-06-16
54936,Algorithm,/app/703540/,2017-10-23,3,14,6,20,62.0,Casual (4),"Casual (4), Indie (23)",Valut,Valut,Engine.Unity,2017-10-13,66.0,0,0,3,2017-10-26
54937,Dino Scourge,/app/716950/,2017-12-18,10,14,6,20,62.0,Action (1),"Action (1), Adventure (25), Free to Play (37), RPG (3), Early Access (70)",Scourgey Works,Scourgey Works,Engine.Unity,2017-10-26,70.0,0,1,10,2019-07-03
54938,Zombie Quarantine,/app/360400/,2017-06-23,123,8,3,11,61.97,Casual (4),"Casual (4), Strategy (2)",Tobop Productions,Tobop Productions,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-11-02,72.0,0,1,197,2023-04-17
54939,RoboCritters,/app/569350/,2017-07-04,6,8,3,11,61.97,Action (1),"Action (1), Indie (23), Strategy (2)",Curious Dimensions Ltd,Curious Dimensions Ltd,Engine.MonoGame; SDK.SteamworksNET,2017-04-15,72.0,0,0,6,2017-07-16
54940,Vectonic,/app/590770/,2017-02-15,6,8,3,11,61.97,Action (1),"Action (1), Indie (23)",@YearOfTheBob,@YearOfTheBob,Engine.Unity,2017-02-04,72.0,0,0,6,2019-05-26
54941,Goblin Harvest - The Mighty Quest,/app/604060/,2017-03-06,4,8,3,11,61.97,RPG (3),"Adventure (25), Indie (23), RPG (3), Strategy (2)",Subjunctive Software,Ian Williams,nan,2017-05-13,72.0,0,0,4,2017-03-06
54942,Earthquake Simulator VR,/app/607590/,2017-07-03,4,8,3,11,61.97,Simulation (28),Simulation (28),Lindero Edutainment,Lindero Edutainment,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis,2017-06-09,72.0,0,0,4,2020-02-04
54943,VR Interior Designer Pro,/app/617600/,2017-04-05,33,8,3,11,61.97,Free to Play (37),"Free to Play (37), Indie (23), Simulation (28)",Edgehill CGI,Edgehill CGI,Engine.Unity; SDK.OpenVR,2017-04-05,72.0,0,1,33,2018-10-07
54944,Blue Angels Aerobatic Flight Simulator,/app/635430/,2017-08-17,3,8,3,11,61.97,Simulation (28),"Action (1), Simulation (28)",Rortos Srl,Rortos Srl,Engine.Unity,2017-08-29,72.0,0,1,3,2017-08-17
54945,Choice of the Star Captain,/app/648510/,2017-06-16,6,8,3,11,61.97,Indie (23),"Adventure (25), Indie (23), RPG (3)",Choice of Games,Choice of Games,Container.Electron,2017-06-02,72.0,0,1,6,2017-06-16
54946,Prelude for a Dream,/app/661440/,2017-06-27,2,8,3,11,61.97,RPG (3),"Adventure (25), RPG (3)",Diego Fernandes Malinowsky,Diego Fernandes Malinowsky,Engine.RPGMaker,2022-11-13,72.0,0,0,2,2017-11-22
54947,Four Horsemen,/app/668200/,2017-09-01,4,8,3,11,61.97,Adventure (25),"Adventure (25), Indie (23), Simulation (28)",Nuclear Fishin' Software,Nuclear Fishin' Software,Engine.RenPy,2017-08-29,72.0,0,0,4,2017-09-13
54948,Codename: Phantom,/app/703140/,2017-11-22,2,8,3,11,61.97,Action (1),"Violent (73), Action (1)",Red Fire Games,Red Fire Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-11-08,72.0,0,0,2,2017-11-22
54949,GALACTIC FIELD 2017 BATE,/app/711970/,2017-09-29,3,8,3,11,61.97,Indie (23),"Casual (4), Indie (23), Strategy (2)",Two thousand and one entertainment studio,Two thousand and one entertainment studio,Engine.Unity,2019-12-09,72.0,0,0,3,2017-10-20
54950,Olson's Boxing Challenge,/app/747790/,2017-11-20,3,8,3,11,61.97,Casual (4),"Casual (4), Sports (18)",Impartial Studios,Jake Olson,nan,2017-11-12,72.0,0,0,3,2017-11-20
54951,Sugy the Christmas elf,/app/748130/,2017-12-07,2,8,3,11,61.97,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Game Alchemists,Game Alchemists,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2023-05-02,72.0,0,0,2,2017-12-07
54952,Solitaire Club,/app/630470/,2017-05-11,12,12,5,17,61.96,Casual (4),Casual (4),familyplay,nan,nan,2017-04-28,70.0,0,2,12,2019-05-27
54953,Aztec Venture,/app/632830/,2017-06-01,5,12,5,17,61.96,Casual (4),Casual (4),familyplay,nan,nan,2017-05-18,70.0,0,1,5,2017-10-18
54954,The Rosebud Condominium,/app/663120/,2017-08-09,3,12,5,17,61.96,Casual (4),"Adventure (25), Casual (4)",Plug In Digital,Blue Salt Games,Engine.Unity,2019-09-18,70.0,0,1,3,2018-07-08
54955,Barrels Up,/app/728950/,2017-11-22,3,12,5,17,61.96,Action (1),"Sexual Content (71), Nudity (72), Violent (73), Gore (74), Action (1), Casual (4)",Eden Agency,Eden Agency,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2018-03-23,70.0,0,0,3,2017-11-13
54956,Time Killers: Spot Race,/app/735530/,2017-11-13,2,12,5,17,61.96,Casual (4),"Casual (4), Indie (23), Strategy (2)",Space Fractal,Space Fractal,nan,2022-10-05,70.0,0,0,2,2017-11-16
54957,MahJong,/app/742030/,2017-11-08,12,12,5,17,61.96,Casual (4),"Casual (4), Indie (23), Simulation (28)",baKno Games,baKno Games,Engine.Unity,2017-10-24,70.0,3,4,12,2021-05-16
54958,Avalon: The Journey Begins,/app/502780/,2017-10-26,2,10,4,14,61.95,Adventure (25),"Adventure (25), Indie (23)",NewHopeGames,NewHopeGames,Engine.GameMaker,2022-10-28,71.0,0,0,2,2016-11-12
54959,Glyphs Apprentice,/app/592120/,2017-03-16,57,10,4,14,61.95,Indie (23),Indie (23),inSPIRE Games,inSPIRE Games,SDK.JVM,2017-02-20,71.0,0,1,353,2023-04-20
54960,Nightmare Adventures: The Turning Thorn,/app/622620/,2017-04-17,3,10,4,14,61.95,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Ghost Ship Studios,Engine.Torque; SDK.OpenAL,2017-04-07,73.0,0,0,3,2020-04-08
54961,Hero of Light VR,/app/696510/,2017-11-14,3,10,4,14,61.95,Action (1),"Violent (73), Gore (74), Action (1), RPG (3)",Shanda Games,Shanda Games,Engine.Unity; SDK.OpenVR,2017-11-21,71.0,0,0,3,2017-11-14
54962,Tanki Online,/app/562010/,2017-03-02,466,3466,2044,5510,61.94,Action (1),"Action (1), Free to Play (37), Massively Multiplayer (29)",APL Publishing Ltd.,Alternativa Game Ltd.,Engine.Adobe_AIR; SDK.Adobe_Flash; SDK.Greenworks,2021-08-29,62.0,23,39,466,2022-08-14
54963,Romancing SaGa 2™,/app/606370/,2017-12-15,189,151,82,233,61.94,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unity,2019-07-08,64.0,38,42,189,2017-12-17
54964,Illyriad - Grand Strategy MMO,/app/559310/,2017-01-11,164,96,51,147,61.91,Massively Multiplayer (29),"Indie (23), Massively Multiplayer (29), RPG (3), Simulation (28), Strategy (2)",Illyriad Games,Illyriad Games,SDK.Greenworks,2021-05-02,65.0,7,10,164,2018-02-10
54965,Regenesis Arcade Lite,/app/642000/,2017-11-20,12,29,14,43,61.86,Action (1),"Action (1), Adventure (25), Casual (4)",Blue Technology Sp. z o.o.,Hyperbook Studio,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2018-09-19,68.0,0,1,12,2017-12-26
54966,Dead Realm,/app/352460/,2017-05-23,1844,2930,1732,4662,61.84,Action (1),"Action (1), Adventure (25), Indie (23), Strategy (2)",3BLACKDOT,Section Studios,Engine.Unity; SDK.Qt; SDK.Vorbis,2017-05-24,62.0,0,1,1844,2015-11-01
54967,Gakuen Club,/app/505080/,2017-05-10,25,40,20,60,61.83,Adventure (25),Adventure (25),Dogenzaka Lab,OperaHouse Corporation,nan,2022-11-09,66.0,0,1,25,2017-05-10
54968,INFINITI VR,/app/612790/,2017-03-28,14,40,20,60,61.83,Free to Play (37),Free to Play (37),The Pulse,The Pulse,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis,2017-03-27,66.0,0,1,14,2017-03-29
54969,Kuro survival,/app/632200/,2017-06-21,2868,40,20,60,61.83,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Yin Games,Yin Games,Engine.Unity,2017-06-15,66.0,1,29,2868,2023-04-08
54970,The Artifact,/app/532920/,2017-06-02,243,129,70,199,61.82,Indie (23),Indie (23),Enigma Games LTD,Colin Wren,Engine.Unity,2017-01-29,64.0,0,0,243,2019-03-12
54971,Strike Team Hydra,/app/716050/,2017-12-08,6,27,13,40,61.78,RPG (3),"Violent (73), Gore (74), Action (1), Adventure (25), Indie (23), RPG (3), Strategy (2)",Wave Light Games Inc.,Wave Light Games Inc.,Engine.Unity,2017-11-20,67.0,0,2,6,2017-12-09
54972,Tower 57,/app/530950/,2017-11-16,303,439,251,690,61.72,Indie (23),"Action (1), Indie (23)",11 bit studios,Pixwerk,SDK.SDL,2021-02-05,63.0,0,5,303,2022-08-04
54973,NOBUNAGA'S AMBITION: Ranseiki with Power Up Kit,/app/628120/,2017-10-18,37,25,12,37,61.69,Strategy (2),Strategy (2),KOEI TECMO GAMES CO. LTD.,KOEI TECMO GAMES CO. LTD.,nan,2017-09-20,67.0,12,16,37,2017-10-20
54974,Castle Story,/app/227860/,2017-08-17,1565,5440,3265,8705,61.68,Strategy (2),"Indie (23), Simulation (28), Strategy (2)",Sauropod Studio,Sauropod Studio,Engine.Unity; SDK.NodeJS; SDK.Vorbis; SDK.Wwise; SDK.iZotope,2022-11-04,62.0,39,81,1565,2014-01-01
54975,Dwarflings,/app/562330/,2017-03-16,1791,36,18,54,61.68,Indie (23),"Adventure (25), Indie (23), RPG (3), Strategy (2)",Starwind Games,Starwind Games,SDK.SDL; SDK.Vorbis,2022-11-30,67.0,0,0,1791,2017-08-26
54976,In Vitra,/app/563270/,2017-03-24,44,36,18,54,61.68,RPG (3),"Adventure (25), RPG (3)",familyplay,bumblebee,nan,2018-06-27,66.0,0,0,44,2021-12-22
54977,Alienzix,/app/685230/,2017-08-26,3,36,18,54,61.68,Indie (23),"Action (1), Indie (23)",Xitilon,Xero TR-MMXZ,Engine.GameMaker,2019-03-01,66.0,0,0,3,2018-11-20
54978,Urban Rivals,/app/715310/,2017-10-18,179,320,182,502,61.63,Free to Play (37),"Action (1), Free to Play (37), Indie (23), Massively Multiplayer (29), RPG (3), Strategy (2)",Acute Games,Acute Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-12-01,63.0,16,32,179,2017-11-06
54979,Pathfinder Adventures,/app/480640/,2017-06-15,405,467,269,736,61.61,RPG (3),"RPG (3), Strategy (2)",Twin Sails Interactive,Obsidian Entertainment,Engine.Unity,2019-12-12,63.0,4,12,405,2017-06-17
54980,Antaria Online R,/app/679270/,2017-10-04,143,219,123,342,61.61,Massively Multiplayer (29),"Action (1), Adventure (25), Casual (4), Indie (23), Massively Multiplayer (29), RPG (3), Early Access (70)",Antaria LLC,Antaria LLC,Engine.Unity; SDK.UnityBurst,2021-06-02,63.0,0,1,143,2021-02-06
54981,Drums Hero PC,/app/644610/,2017-06-22,276,23,11,34,61.6,Simulation (28),"Action (1), Casual (4), Indie (23), Simulation (28), Sports (18), Early Access (70)",Player Of Music Technology Co.Ltd,Player Of Music Technology Co.Ltd,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2017-06-20,67.0,0,0,276,2019-05-25
54982,WireNet,/app/687510/,2017-08-26,3,23,11,34,61.6,Indie (23),"Action (1), Casual (4), Indie (23)",Xitilon,Xero TR-MMXZ,nan,2017-07-31,67.0,0,0,3,2017-08-26
54983,Protect Me,/app/734820/,2017-11-01,2,23,11,34,61.6,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Bitlock Studio,LillyWelland inc.,Engine.Unity,2017-10-13,67.0,0,0,2,2018-02-15
54984,Epic Tavern,/app/517720/,2017-09-13,56,198,111,309,61.57,RPG (3),"Adventure (25), Indie (23), RPG (3), Strategy (2), Early Access (70)",Epic Tavern Holdings,Hyperkinetic Studios,Engine.Unity; SDK.cURL,2022-11-15,63.0,0,2,56,2017-09-13
54985,SORE,/app/690060/,2017-10-05,87,189,106,295,61.53,Free to Play (37),"Free to Play (37), Indie (23)",Bazitov Mikhail,Bazitov Mikhail,SDK.NWJS; SDK.NodeJS,2022-10-29,64.0,0,1,87,2017-10-07
54986,Marvel vs. Capcom: Infinite,/app/493840/,2017-09-19,3603,1557,926,2483,61.5,Action (1),Action (1),Capcom,Capcom,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.Vorbis,2020-02-13,62.0,20,48,3603,2017-09-20
54987,Gettysburg: The Tide Turns,/app/602510/,2017-07-14,49,41,21,62,61.5,Strategy (2),Strategy (2),Slitherine Ltd.,Shenandoah Studio,Engine.Unity; SDK.FMOD,2019-11-29,66.0,0,1,49,2017-07-14
54988,Deadbeat Heroes,/app/614090/,2017-10-10,101,57,30,87,61.49,Action (1),Action (1),Square Enix,Deadbeat Productions,Engine.Unity,2019-06-28,64.0,0,1,101,2019-04-17
54989,Burgers 2,/app/555890/,2017-01-14,42,21,10,31,61.49,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Digitized Organism,Digitized Organism,Engine.Unity; Engine.XNA,2017-02-07,67.0,0,0,42,2017-03-28
54990,Gil's Lucid Dreams,/app/556260/,2017-10-17,862,21,10,31,61.49,Indie (23),"Adventure (25), Indie (23)",Oblion Studio,Oblion Studio,Engine.Unity,2019-09-04,67.0,0,2,862,2023-01-09
54991,Spacetours VR - Ep1 The Solar System,/app/592410/,2017-03-08,11,21,10,31,61.49,Simulation (28),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Vibrant Visuals - Christian Klötzel,Vibrant Visuals - Christian Klötzel,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.Vorbis,2017-07-19,67.0,0,2,11,2020-07-16
54992,Warpaint,/app/600150/,2017-03-17,8,21,10,31,61.49,Strategy (2),"Casual (4), Indie (23), Strategy (2)",LADDER,Adam Thompson,Engine.Unity; SDK.OpenVR,2020-03-06,67.0,0,1,8,2017-03-18
54993,The Thing With Mistletoes,/app/587290/,2017-02-10,14,55,29,84,61.41,Simulation (28),Simulation (28),Visual Wordplay,Ran,Engine.RenPy; SDK.SDL,2017-01-28,65.0,0,1,14,2017-02-10
54994,Infinite Tanks,/app/543180/,2017-03-25,91,121,67,188,61.4,Action (1),"Action (1), Indie (23)",Atypical Games,Atypical Games,SDK.FMOD; SDK.SDL; SDK.cURL,2022-10-31,64.0,0,2,91,2022-01-05
54995,Space Fighter,/app/691540/,2017-09-14,39,69,37,106,61.4,Action (1),"Action (1), Free to Play (37)",Roger Barton,Roger Barton,Engine.Unity,2017-09-14,65.0,0,0,39,2017-09-15
54996,Assault on the Necrospire,/app/491660/,2017-08-21,6,19,9,28,61.38,Action (1),"Action (1), Indie (23), RPG (3)",Mike Watson,Mike Watson,SDK.JVM,2017-01-27,67.0,0,1,6,2022-06-05
54997,The Little War,/app/769080/,2017-12-28,9,19,9,28,61.38,Action (1),Action (1),Hexagons Studio,Hexagons Studio,Engine.Unreal; SDK.NVIDIA_APEX; SDK.Vorbis,2018-01-04,67.0,0,0,9,2017-12-28
54998,Lifeline,/app/585290/,2017-03-17,132,88,48,136,61.36,Indie (23),"Adventure (25), Indie (23), Strategy (2)",Big Fish Games,3 Minute Games,nan,2017-03-03,64.0,0,0,132,2017-03-20
54999,Ancient Go,/app/468160/,2017-05-30,10,67,36,103,61.33,Casual (4),"Casual (4), Indie (23), Strategy (2)",Hart Laboratories LLC,Hart Laboratories LLC,Engine.Unreal; SDK.NVIDIA_APEX; SDK.OpenSSL; SDK.Vorbis,2017-05-30,65.0,1,2,10,2016-09-15
